"","ch_in","cum_n_tips","cum_max_friends","cum_max_u_elite","cum_max_us_fans","cum_max_us_rev","male","female"
"19843",1,7,1613,7,148,727,1,3
"25039",0,8,1613,7,148,727,2,3
"26602",0,9,1613,7,148,727,2,4
"621",0,1,293,2,25,510,0,1
"20276",0,2,293,2,25,510,1,1
"24130",0,3,293,2,25,510,1,2
"25454",0,4,293,3,33,510,1,3
"25655",1,5,293,3,33,510,1,4
"8241",0,1,449,9,55,687,0,1
"9560",0,2,449,9,55,687,0,2
"11982",0,3,449,9,55,687,0,3
"12425",1,4,449,9,55,926,1,3
"13412",0,5,449,9,55,926,2,3
"13602",0,6,449,9,55,926,2,3
"14546",0,7,449,9,55,926,2,3
"16374",0,8,449,9,55,926,2,3
"16900",0,9,449,9,55,926,2,3
"26172",1,10,449,9,55,926,2,3
"28609",1,11,449,9,55,926,2,4
"11076",0,1,145,4,14,216,1,0
"17771",0,2,603,4,24,353,1,1
"18615",1,3,603,5,44,473,1,2
"58",0,2,293,2,25,510,0,1
"121",0,3,293,2,25,510,0,1
"344",0,4,293,2,25,510,0,1
"454",0,5,293,2,25,510,0,1
"546",0,6,293,2,25,510,0,1
"606",0,7,397,8,30,510,0,2
"1724",1,8,397,8,30,510,0,2
"1884",0,9,571,8,43,510,0,3
"3928",0,10,632,8,57,510,1,3
"5115",0,11,632,8,57,510,1,4
"5981",0,12,632,8,57,510,2,4
"6233",0,13,632,8,57,510,2,5
"6927",0,15,3198,9,378,1431,3,5
"7420",0,16,3198,9,378,1431,3,5
"7436",1,18,3198,9,378,1431,3,6
"7746",0,19,3198,9,378,1431,3,6
"7813",0,20,3198,9,378,1431,3,6
"7905",0,21,3198,9,378,1431,4,6
"7975",0,22,3198,9,378,1431,4,6
"8027",0,23,3198,9,378,1431,4,6
"8192",0,24,3198,9,378,1431,4,6
"8552",0,25,3198,9,378,1431,4,6
"8863",0,26,3198,9,378,1431,4,6
"9159",0,27,3198,9,378,1431,4,6
"9855",0,28,3198,9,378,1431,4,6
"10190",0,29,3198,9,378,1431,5,6
"10338",0,30,3198,9,378,1431,5,7
"12207",0,31,3975,9,730,1431,5,8
"16933",0,32,3975,9,730,1431,5,8
"17869",0,33,3975,9,730,1431,5,9
"17908",0,34,3975,9,730,1431,5,9
"18118",0,35,3975,9,730,1431,5,10
"18221",0,36,3975,9,730,1431,5,10
"18233",0,37,3975,9,730,1431,5,10
"18458",0,38,3975,9,730,1431,6,10
"18935",0,39,3975,9,730,1431,6,11
"21084",0,40,3975,9,730,1431,6,11
"21110",0,41,3975,9,730,1431,6,12
"21128",0,42,3975,9,730,1431,6,12
"21250",0,44,3975,9,730,1431,7,12
"26007",0,45,3975,9,730,1431,7,12
"17868",0,2,328,6,64,698,1,1
"20723",0,3,328,6,64,698,1,1
"20767",0,4,340,6,64,698,1,2
"20825",0,5,340,6,64,698,1,3
"25286",0,6,340,6,64,698,2,3
"26359",0,7,340,6,64,698,2,3
"2589",0,1,19,8,1,94,0,1
"3256",0,2,693,4,76,573,0,2
"3892",0,3,693,4,76,573,0,3
"4581",0,4,693,4,76,573,1,3
"5332",0,5,693,4,76,573,2,3
"12840",1,6,693,4,76,573,2,3
"13118",0,7,693,4,76,573,2,4
"14450",0,8,693,4,76,573,3,4
"15117",0,9,1014,8,76,852,3,5
"16652",0,10,1014,8,76,852,3,5
"16834",1,11,1014,8,76,852,3,6
"22706",0,12,1014,8,76,852,4,6
"16472",0,1,14,10,1,114,0,0
"17017",0,2,388,4,24,304,1,0
"18229",0,3,388,4,24,304,1,0
"18441",0,4,388,4,24,304,2,0
"18870",0,5,388,4,24,304,3,0
"19066",0,6,388,4,24,304,3,0
"19168",0,7,388,4,24,304,3,0
"19494",0,8,388,4,24,304,3,0
"19841",0,9,388,4,24,304,3,0
"22011",0,10,388,4,24,304,3,0
"22362",0,13,388,4,24,304,3,0
"22842",0,14,629,4,24,304,3,1
"25428",0,15,629,4,24,304,3,2
"26137",0,16,629,4,24,304,3,2
"26225",0,17,629,4,24,304,3,2
"26922",0,18,629,4,24,304,3,2
"27123",0,19,629,4,24,304,3,2
"27816",0,20,629,4,24,304,3,2
"28190",0,21,629,4,24,304,3,2
"17550",0,1,3022,7,641,4321,0,1
"17941",0,2,3022,7,641,4321,1,1
"18594",0,3,3022,7,641,4321,1,1
"19027",0,4,3022,7,641,4321,2,1
"19470",0,5,3022,7,641,4321,2,1
"19677",1,6,3022,7,641,4321,2,1
"20663",0,7,3022,7,641,4321,2,2
"28894",0,8,3022,7,641,4321,2,2
"7220",0,1,147,10,2,18,0,1
"9519",0,2,147,7,2,18,1,1
"13995",0,3,3975,3,730,907,1,2
"2979",0,1,603,3,33,194,0,0
"9836",0,2,603,8,63,457,0,1
"15317",0,3,603,8,63,457,0,2
"17281",0,4,603,8,63,457,1,2
"22244",1,5,603,8,63,457,1,2
"27887",0,6,603,8,63,457,1,3
"9943",0,1,81,2,4,76,0,1
"12669",0,2,191,5,32,344,0,2
"13771",0,3,1613,7,148,727,1,2
"22968",0,1,3022,7,641,4321,0,1
"1616",0,1,185,8,1,22,0,1
"4591",0,2,316,5,41,400,0,2
"9327",0,3,316,5,41,400,0,3
"10444",0,4,316,5,41,400,0,3
"29026",1,1,180,3,34,315,0,1
"29033",0,2,180,3,34,315,0,2
"11753",0,1,232,5,19,262,0,1
"11884",0,2,427,5,23,262,0,2
"11943",0,3,1143,5,140,481,0,3
"12256",0,4,1143,5,140,481,0,4
"12443",0,5,1143,5,140,481,0,4
"12901",0,7,1143,5,140,481,1,4
"14121",0,8,1143,8,140,926,2,4
"19618",0,1,2,9,1,78,0,0
"20162",0,2,385,8,49,926,1,0
"20490",0,3,385,8,49,926,1,1
"21012",0,4,385,8,49,926,1,2
"21652",0,5,385,8,49,926,1,2
"21779",0,6,385,8,49,926,1,2
"22043",0,7,385,8,49,926,2,2
"22553",0,8,385,8,49,926,2,2
"22818",0,9,385,8,49,926,2,2
"26252",0,10,385,8,49,926,2,2
"5919",0,2,1193,7,122,297,0,1
"10530",0,3,1193,7,122,297,0,2
"12464",0,5,1779,7,210,1196,0,3
"12492",0,6,1779,7,210,1196,0,4
"15336",0,7,1779,7,210,1196,0,4
"26843",1,8,1779,7,210,1196,0,5
"182",0,1,3975,3,730,907,0,1
"185",0,2,3975,4,730,907,1,1
"675",0,3,3975,4,730,907,1,2
"6599",1,4,3975,4,730,907,1,3
"7452",1,5,3975,7,730,1196,1,4
"7470",0,6,3975,7,730,1196,1,5
"8281",0,7,3975,7,730,1196,1,5
"14892",0,11,3975,7,730,1196,1,5
"15003",0,12,3975,7,730,1196,1,5
"17736",0,13,3975,7,730,1196,1,6
"18312",0,14,3975,7,730,1196,2,6
"19142",0,15,3975,7,730,1196,2,7
"20713",0,16,3975,7,730,1196,2,8
"27055",0,17,3975,7,730,1196,3,8
"22863",0,1,818,7,146,520,0,1
"23118",0,2,818,7,146,520,0,1
"23167",0,4,1060,9,183,540,0,2
"24174",0,5,1060,9,183,540,0,2
"27742",0,6,1060,9,183,540,0,2
"15360",0,1,1613,7,148,727,1,0
"15386",0,2,1613,7,148,727,1,0
"16688",0,3,1613,7,148,727,2,0
"19506",0,4,1613,7,148,727,2,1
"20472",0,5,1613,7,148,727,2,1
"28254",0,6,1613,7,148,727,2,2
"27759",1,1,1,8,0,3,0,0
"4402",0,1,540,6,48,648,0,1
"7153",0,2,540,6,48,648,0,2
"8747",1,4,1779,7,210,1196,0,3
"12292",0,5,1779,7,210,1196,1,3
"13272",0,6,1779,7,210,1196,1,3
"14433",0,7,1779,8,210,1196,2,3
"15457",0,8,1779,8,210,1196,2,3
"17470",0,9,1779,8,210,1196,2,4
"24302",0,10,1779,8,210,1196,3,4
"28916",1,11,1779,8,210,1196,3,5
"2498",0,1,241,9,22,317,0,1
"3766",0,2,391,9,30,317,1,1
"5500",0,3,709,9,112,588,2,1
"10280",0,4,709,9,112,588,2,2
"10470",0,5,3558,9,376,1614,2,3
"16689",0,6,3558,9,376,1614,2,4
"19862",0,7,3558,9,376,1614,2,5
"25841",0,8,3558,9,376,1614,2,5
"27046",0,9,3558,9,376,1614,2,5
"25138",1,1,3198,9,378,1431,1,0
"3165",0,1,433,8,63,457,0,1
"5128",0,2,433,8,63,457,0,1
"12938",1,3,3975,8,730,907,0,2
"13123",0,4,3975,8,730,907,1,2
"20727",0,5,3975,8,730,907,1,3
"27750",1,6,3975,8,730,907,1,3
"1280",0,2,955,7,165,1185,0,1
"1523",0,3,955,7,165,1185,0,2
"1648",0,5,955,7,165,1185,0,2
"1791",1,6,955,7,165,1185,0,3
"1806",0,7,955,7,165,1185,0,3
"1849",0,8,955,7,165,1185,0,4
"2470",0,9,955,8,165,1185,0,5
"2511",0,10,955,8,165,1185,0,5
"2738",0,11,3198,9,378,1431,1,5
"2756",0,12,3198,9,378,1431,1,5
"3704",0,13,3198,9,378,1431,1,6
"3854",0,14,3198,9,378,1664,1,7
"4061",0,15,3198,9,378,1664,1,7
"4972",0,16,3198,9,378,1664,1,7
"6190",0,17,3198,9,378,1664,1,8
"6451",0,18,3198,9,378,1664,1,8
"7674",0,19,3198,9,378,1664,2,8
"8511",1,20,3198,9,378,1664,2,9
"8861",0,21,3198,9,378,1664,3,9
"9717",0,22,3198,9,378,1664,3,9
"10091",0,23,3198,9,378,1664,3,10
"10652",0,24,3198,9,378,1664,4,10
"10949",0,25,3198,9,378,1664,4,11
"11592",0,26,3198,9,378,1664,4,12
"11897",1,27,3198,9,378,1664,4,13
"12491",0,28,3198,9,378,1664,4,13
"12757",0,29,3198,9,378,1664,5,13
"12784",0,31,3198,9,378,1664,5,13
"12986",0,32,3198,9,378,1664,5,13
"13452",0,33,3198,9,378,1664,5,14
"13779",0,34,3198,9,378,1664,5,15
"14315",0,35,3198,9,378,1664,6,15
"14598",0,36,3198,9,378,1664,6,15
"14804",0,37,3198,9,378,1664,7,15
"17582",0,38,3198,9,378,1664,7,16
"18117",0,39,3198,9,378,1664,8,16
"18152",1,40,3198,9,378,1664,8,17
"18934",0,41,3198,9,378,1664,9,17
"26707",0,42,3198,9,378,1664,9,17
"28124",0,43,3198,9,378,1664,9,17
"270",0,1,3094,10,14,76,1,0
"755",0,2,3094,2,25,510,1,1
"901",1,3,3094,2,25,510,1,2
"1187",0,4,3094,9,219,1664,1,3
"1476",0,5,3094,9,219,1664,2,3
"1777",0,6,3094,9,219,1664,2,3
"2860",0,7,3094,9,219,1664,3,3
"3972",0,8,3198,9,378,1664,4,3
"6866",0,9,3198,9,378,1664,5,3
"7239",0,10,3198,9,378,1664,5,4
"9366",1,11,3198,9,378,1664,5,4
"10282",0,12,3198,9,378,1664,5,5
"10528",0,13,3198,9,378,1664,5,6
"11882",0,14,3198,9,378,1664,5,7
"12098",0,15,3198,9,378,1664,5,8
"12414",0,16,3198,9,378,1664,5,8
"12483",0,17,3198,9,378,1664,5,8
"12751",0,18,3198,9,378,1664,5,8
"12999",0,19,3198,9,378,1664,5,8
"13822",0,20,3198,9,378,1664,5,8
"15178",0,21,3198,9,378,1664,6,8
"17770",0,22,3198,9,378,1664,6,8
"19115",0,23,3198,13,415,3061,6,9
"19643",0,24,3198,13,415,3061,6,10
"19977",0,25,3198,13,415,3061,6,10
"21230",0,26,3198,13,415,3061,6,10
"22526",0,27,3198,13,415,3061,6,10
"24364",0,28,3198,13,415,3061,6,11
"24772",0,29,3198,13,415,3061,7,11
"24920",0,30,3198,13,415,3061,7,11
"9012",0,1,1143,2,140,481,0,1
"13377",0,2,1143,2,140,481,1,1
"21036",0,3,1997,6,309,858,1,1
"23267",0,1,205,10,2,37,1,0
"24378",0,2,205,9,5,45,2,0
"25626",0,3,205,7,5,45,2,0
"26185",0,5,388,4,24,304,3,0
"27555",1,7,388,4,24,304,3,0
"22999",0,1,1,8,0,23,0,1
"24839",1,2,3022,7,641,4321,0,2
"1192",0,1,425,3,11,150,1,0
"1666",0,2,961,9,90,1019,2,0
"2172",0,3,961,9,90,1019,3,0
"2356",0,4,961,9,90,1019,4,0
"2377",0,5,961,9,90,1019,4,1
"2539",0,6,961,9,90,1019,4,1
"2955",0,7,961,9,90,1019,4,1
"2967",0,8,961,9,90,1019,4,2
"3994",0,9,961,9,90,1019,4,2
"4799",0,10,1193,9,122,1019,4,3
"4860",0,11,1193,9,122,1019,4,3
"5055",0,12,1193,9,122,1019,4,3
"5183",0,13,1193,9,122,1019,4,3
"5899",0,14,1193,9,122,1019,4,3
"5926",0,15,1193,9,183,1019,4,4
"5967",0,16,1193,9,183,1019,4,5
"6111",0,17,1193,9,183,1019,4,5
"6475",0,18,1193,9,183,1019,4,5
"6935",0,19,1193,9,183,1019,4,5
"7593",0,20,1193,9,183,1019,4,5
"8973",0,21,1193,9,183,1019,4,5
"10522",0,22,6026,10,697,1019,5,5
"11306",0,23,6026,10,697,1019,5,6
"11744",0,24,6026,10,697,1019,6,6
"12936",0,25,6026,10,697,1019,7,6
"16833",1,26,6026,10,697,1019,7,7
"19003",0,27,6026,10,697,1019,7,7
"21069",0,28,6026,10,697,1019,8,7
"21983",0,29,6026,10,697,1019,8,7
"23013",0,30,6026,10,697,1019,8,7
"24800",0,31,6026,10,697,1019,8,7
"25885",0,32,6026,10,697,1019,8,7
"26597",0,33,6026,10,697,1431,8,7
"27778",0,34,6026,10,697,1431,9,7
"28220",1,35,6026,10,697,1431,9,8
"27376",0,1,163,3,30,232,0,1
"27653",1,2,172,3,30,232,1,1
"28508",0,3,172,3,30,232,1,2
"561",0,1,201,3,19,76,0,1
"616",0,2,469,3,46,152,0,2
"995",0,3,469,3,46,203,0,2
"1007",0,4,469,3,46,203,1,2
"1200",0,5,469,3,46,203,1,2
"1313",0,6,469,3,46,203,1,3
"1955",0,7,469,9,48,584,1,4
"3882",0,8,603,9,48,584,1,4
"3958",0,9,603,9,48,584,2,4
"4014",0,10,1193,9,122,584,2,5
"4214",0,11,1193,9,122,584,2,6
"4483",0,12,1193,9,122,584,3,6
"4786",0,13,1193,9,122,584,3,6
"5751",0,14,1193,9,122,584,3,6
"6558",0,15,1193,9,122,584,3,6
"6669",0,16,1193,9,122,584,3,6
"7308",0,17,1193,9,122,584,3,6
"7329",0,18,1193,9,122,584,3,7
"9571",0,19,1193,9,122,584,3,7
"10269",0,20,1193,9,122,584,3,8
"10523",0,21,1193,9,122,584,4,8
"11401",0,22,1193,9,122,584,4,9
"11938",0,23,1193,9,122,584,4,10
"13092",0,24,1193,9,122,584,5,10
"14644",0,25,1193,9,122,584,6,10
"15764",0,26,1193,9,122,584,6,11
"16297",0,27,1193,9,122,584,6,11
"17536",0,28,1451,9,122,584,7,11
"18083",0,29,1451,9,122,584,7,12
"18308",0,30,1451,9,122,584,7,13
"18589",0,31,1451,9,122,584,7,13
"19000",0,32,1451,9,122,584,7,14
"23804",1,33,1451,9,122,584,7,14
"23856",0,34,1451,9,122,584,7,15
"25526",0,35,1451,9,122,584,7,16
"28543",0,36,1451,9,122,584,7,17
"18338",0,1,528,7,166,617,0,1
"18591",1,3,528,7,166,617,0,2
"3827",0,1,105,3,8,110,1,0
"3843",0,2,105,3,8,170,2,0
"5103",0,3,425,3,11,170,3,0
"9268",1,4,425,3,11,170,3,1
"10790",0,5,485,6,61,531,3,2
"19161",0,6,485,6,61,531,3,3
"24230",0,7,1247,9,283,2421,4,3
"24295",0,8,1247,9,283,2421,5,3
"25837",1,9,1247,9,283,2421,6,3
"1330",0,1,2916,9,219,1664,0,1
"1395",0,2,2916,9,219,1664,0,2
"1505",0,3,2916,9,219,1664,1,2
"2223",0,4,2916,9,219,1664,1,2
"2516",0,5,2916,9,219,1664,1,3
"4125",0,6,2916,9,283,2421,2,3
"4461",0,7,2916,9,283,2421,2,3
"8617",0,8,2916,9,283,2421,2,3
"11090",0,9,2916,9,283,2421,2,4
"22779",0,1,1299,2,153,206,0,1
"24261",0,2,1299,2,153,206,1,1
"24501",0,3,1299,2,153,206,2,1
"24624",0,4,1299,2,153,206,2,2
"24886",0,5,1299,2,153,206,2,2
"24924",0,6,1299,2,153,206,3,2
"25379",1,7,1299,2,153,206,3,3
"25806",0,8,1299,2,153,206,4,3
"27022",0,9,1299,2,153,206,4,4
"27763",1,10,1299,4,153,206,4,5
"27969",1,11,1299,4,153,206,4,6
"19062",1,2,1060,9,183,540,0,1
"19347",0,3,1304,9,183,540,0,2
"19355",0,4,1304,9,183,540,0,3
"20704",0,5,1304,9,183,540,0,4
"24322",0,6,1304,9,183,540,1,4
"24500",1,7,1304,9,183,540,1,5
"24618",1,8,1304,9,183,540,1,6
"24737",0,9,1304,9,183,540,1,7
"24894",1,10,1304,9,183,540,1,8
"27021",1,11,1304,9,183,540,2,8
"8136",0,1,528,7,166,617,0,1
"10440",0,2,904,7,178,1606,1,1
"16163",0,3,904,7,178,1606,2,1
"16603",0,4,904,7,178,1606,3,1
"17119",0,5,1451,7,178,1606,4,1
"27848",0,6,1451,7,178,1606,4,1
"145",0,1,293,2,25,510,0,1
"1372",0,2,313,2,25,510,1,1
"3696",0,3,397,8,30,510,1,2
"4666",0,4,709,8,112,588,2,2
"6769",0,5,709,8,112,588,2,3
"7152",0,6,1786,8,112,638,2,4
"7527",0,7,1786,8,112,638,2,4
"10376",0,8,1786,8,112,638,2,4
"10515",0,9,1786,8,112,638,2,5
"10567",0,10,1786,8,112,638,2,5
"10588",0,11,1786,8,112,638,2,6
"10676",0,12,1786,8,112,638,2,6
"10761",0,13,1786,8,112,638,2,6
"10891",0,14,1786,8,112,638,2,6
"13844",0,15,1997,8,309,858,2,7
"13938",0,16,1997,8,309,858,2,7
"14689",0,17,1997,8,309,858,2,7
"15483",0,18,1997,8,309,858,2,7
"16796",0,19,1997,8,309,858,3,7
"17052",0,20,1997,8,309,926,4,7
"17438",0,21,1997,8,309,926,5,7
"21692",0,22,1997,8,309,926,5,8
"28815",1,23,3241,8,309,2229,6,8
"26787",1,1,189,2,9,67,0,1
"28457",0,1,66,11,5,36,0,0
"28581",0,2,402,4,47,153,0,1
"2928",0,1,603,3,33,194,0,0
"6243",0,2,603,3,33,250,1,0
"9629",0,3,1193,7,122,297,1,1
"17514",0,4,1193,7,122,297,2,1
"18104",1,5,1193,7,122,297,2,2
"20539",0,6,1193,13,415,3061,2,3
"23373",0,7,1193,13,415,3061,3,3
"26788",0,8,1193,13,415,3061,3,4
"26995",0,9,1193,13,415,3061,4,4
"16296",0,1,528,7,166,617,0,1
"19321",0,2,528,7,166,617,1,1
"19517",0,3,528,7,166,617,1,2
"24296",0,4,528,7,166,617,1,3
"26732",0,1,332,3,43,120,0,1
"27347",0,2,1117,9,165,981,0,2
"28718",0,3,1117,9,165,981,0,3
"28752",0,4,1117,9,165,981,0,4
"19522",0,1,199,11,0,31,1,0
"19630",0,3,1801,7,228,428,2,1
"22860",0,5,1801,9,228,540,2,2
"23421",0,6,1801,9,228,540,2,3
"23507",0,7,1801,9,228,540,3,3
"24099",1,8,1801,9,228,540,3,4
"27621",0,10,1801,9,228,540,4,5
"1298",0,1,270,2,25,139,0,1
"1585",0,2,2916,9,219,1664,0,2
"3434",1,3,2916,9,219,1664,0,2
"4464",0,4,2916,9,219,1664,0,2
"5512",0,5,2916,9,219,1664,0,2
"11610",0,6,2916,9,219,1664,0,3
"12218",0,7,2916,9,219,1664,0,4
"13108",0,8,2916,9,219,1664,0,4
"13484",0,9,2916,9,219,1664,1,4
"14413",0,10,2916,9,219,1664,1,5
"14678",0,11,2916,9,219,1664,2,5
"16078",0,12,2916,9,219,1664,2,6
"17619",0,13,2916,9,219,1664,3,6
"18512",0,14,2916,9,219,1664,3,7
"19163",0,15,2916,9,219,1664,4,7
"21271",0,16,2916,9,219,1664,4,8
"21576",0,17,2916,9,219,1664,4,9
"22610",0,18,2916,9,219,1664,4,9
"23359",0,19,2916,9,219,1664,4,10
"25619",0,20,2916,9,219,1664,4,10
"26579",0,21,2916,9,219,1664,4,11
"27936",0,22,2916,9,219,1664,4,11
"28658",0,23,2916,9,219,1664,4,12
"2618",0,1,469,3,46,152,0,1
"3561",0,2,469,3,46,155,0,2
"5428",0,3,693,4,76,573,0,3
"6476",0,4,693,4,76,573,0,3
"6559",0,5,693,4,76,573,1,3
"8171",0,6,693,4,76,573,2,3
"11294",0,7,693,4,76,573,2,4
"12124",0,8,693,4,76,573,2,5
"12235",0,9,693,4,76,573,2,6
"12817",0,10,693,4,76,573,2,6
"13529",0,11,693,4,76,573,2,7
"14264",0,12,693,4,76,573,3,7
"16103",0,13,693,4,76,573,3,8
"16365",0,15,693,4,76,573,3,9
"17539",0,16,1451,4,76,573,4,9
"18110",0,17,1451,5,86,573,4,10
"18177",0,18,1451,5,86,573,4,11
"20657",0,19,1451,5,86,573,4,11
"25048",0,20,1451,5,86,573,4,12
"26561",0,21,1451,5,86,573,4,13
"16791",1,1,99,7,0,11,0,1
"17106",0,2,99,11,1,37,1,1
"22765",1,3,1451,8,61,295,2,1
"26560",1,4,1451,5,61,344,2,1
"23806",0,2,1060,9,183,540,0,1
"27195",0,3,1060,9,183,560,0,2
"28148",0,4,1060,9,183,560,0,3
"28241",0,5,1060,9,183,560,0,4
"26258",0,1,163,3,30,232,0,1
"26476",0,2,840,4,102,840,1,1
"26537",0,3,840,6,102,840,1,2
"26669",0,4,840,6,102,840,2,2
"28471",0,5,840,6,102,840,3,2
"28548",0,6,1193,7,122,840,3,3
"885",0,1,425,3,11,150,1,0
"1444",0,2,425,3,11,150,1,0
"2230",0,3,425,9,43,423,1,1
"6916",0,4,425,9,43,593,2,1
"7258",0,5,425,9,43,593,3,1
"8311",0,6,425,9,43,593,3,2
"8393",0,7,1586,9,43,593,3,3
"12507",0,8,1586,9,52,698,4,3
"12867",0,9,1586,9,52,698,5,3
"16559",0,10,1586,9,52,698,5,3
"16922",0,11,1586,9,61,698,6,3
"18016",0,12,1586,10,148,979,6,4
"19456",0,13,1586,10,148,979,6,5
"19790",0,14,1586,10,148,979,6,5
"19868",0,15,1586,10,148,979,6,6
"21346",0,17,1586,10,148,979,6,6
"24789",0,18,1586,10,148,979,6,6
"26346",1,19,1586,10,148,979,6,7
"29169",0,20,1586,10,148,979,6,8
"2461",0,1,210,11,8,69,1,0
"28027",1,2,210,11,8,69,1,0
"1146",0,1,105,3,8,110,1,0
"1685",1,2,2916,9,219,1664,1,1
"1785",0,3,2916,9,219,1664,1,1
"1852",1,4,2916,9,219,1664,2,1
"2121",0,5,2916,9,219,1664,2,2
"2398",0,6,2916,9,219,1664,2,2
"2427",0,7,2916,9,219,1664,2,2
"3131",0,8,2916,9,219,1664,3,2
"3466",0,9,2916,9,219,1664,3,2
"3587",0,10,2916,9,219,1664,4,2
"4706",0,11,2916,9,219,1664,4,2
"5858",0,12,2916,9,219,1664,4,2
"7020",0,13,2916,9,219,1664,5,2
"7542",1,14,2916,9,219,1664,5,2
"7887",0,15,2916,9,219,1664,5,3
"8227",0,16,2916,9,219,1664,6,3
"9517",0,17,2916,9,219,1664,6,4
"9796",0,18,2916,9,219,1664,6,4
"13514",1,19,2916,9,219,1664,6,5
"14050",0,20,2916,9,219,1664,7,5
"17880",0,21,2916,9,219,1664,7,5
"19898",0,22,2916,9,219,1664,7,6
"22196",0,23,2916,13,415,3061,7,7
"22751",0,24,2916,13,415,3061,7,8
"27713",0,25,2916,13,415,3061,7,9
"13442",0,1,693,4,76,573,0,1
"13616",0,2,693,4,76,573,1,1
"13668",0,3,693,4,76,573,1,2
"13816",0,4,693,4,76,573,1,2
"14095",0,5,1613,7,148,727,2,2
"14206",0,6,1613,7,148,727,3,2
"14354",0,7,3975,7,730,907,3,3
"14703",0,8,3975,7,730,907,4,3
"15033",0,9,3975,7,730,907,4,4
"22368",0,10,3975,7,730,907,4,4
"25219",0,11,3975,7,730,907,4,4
"25539",0,12,3975,7,730,907,4,5
"26674",0,13,3975,7,730,907,4,6
"28014",0,14,3975,7,730,907,5,6
"14683",1,1,955,7,165,1185,0,1
"8141",0,1,293,2,25,510,0,1
"9743",0,2,3230,8,186,510,0,2
"14777",1,3,3230,8,186,1185,0,3
"14962",0,4,3230,8,186,1185,0,4
"19804",1,5,3230,8,186,1185,0,5
"22974",1,6,3230,8,186,1185,0,6
"2378",0,2,427,2,23,139,0,1
"797",0,1,3975,3,730,907,0,1
"1472",0,2,3975,3,730,907,1,1
"1574",0,3,3975,9,730,1664,1,2
"2307",0,4,3975,9,730,1664,2,2
"2811",0,5,3975,9,730,1664,2,3
"6380",0,6,3975,9,730,1664,2,4
"12046",0,8,3975,9,730,1664,2,4
"17468",0,9,3975,9,730,1664,2,5
"17690",0,10,3975,9,730,1664,2,6
"17964",0,11,3975,9,730,1664,3,6
"18917",0,12,3975,9,730,1664,4,6
"873",0,1,71,11,2,170,1,0
"1652",0,2,427,2,23,170,1,1
"2343",0,3,2916,9,219,1664,1,2
"3374",0,4,2916,9,219,1664,1,2
"9413",0,5,2916,9,219,1664,1,2
"9628",0,6,2916,9,219,1664,1,3
"20981",0,7,2916,9,219,1664,2,3
"22888",0,8,2916,9,219,1664,2,4
"13970",0,1,129,7,9,54,0,0
"14471",0,2,1060,9,183,540,0,1
"16761",0,3,1060,9,183,540,0,1
"17045",0,4,1060,9,183,540,1,1
"17324",0,5,1060,9,183,540,1,2
"17513",0,6,1073,9,183,540,1,3
"17527",0,7,1073,9,183,540,1,4
"17791",0,8,1073,9,183,540,1,4
"18491",0,9,1073,9,183,573,1,5
"18522",0,10,1073,9,183,573,1,6
"18551",0,11,1073,9,183,573,1,6
"20042",0,12,1073,9,183,573,1,7
"20149",0,13,1073,9,183,573,1,7
"20369",0,14,1073,9,183,573,1,8
"21603",0,15,1073,9,183,573,1,9
"22264",0,16,1073,9,183,573,1,10
"23803",0,17,1073,9,183,573,1,11
"24682",1,18,1073,9,183,573,1,12
"23664",0,1,528,7,166,617,0,1
"24186",1,2,528,7,166,631,1,1
"13057",0,1,693,4,76,573,0,1
"13358",0,2,693,4,76,573,1,1
"25547",0,3,693,4,76,573,1,1
"27995",0,4,693,4,76,573,2,1
"20048",0,1,518,2,24,301,0,0
"28829",1,2,518,2,24,301,1,0
"19047",0,1,8,11,0,14,0,1
"25816",0,2,26,8,1,58,0,2
"27336",0,3,26,7,1,58,0,2
"27670",0,4,26,9,1,58,0,2
"27710",1,5,83,11,1,58,0,3
"27751",0,6,83,9,1,58,0,3
"24474",1,1,127,11,8,80,1,0
"26522",0,2,127,8,8,80,1,0
"20745",0,1,1613,7,148,727,1,0
"23093",0,2,1613,7,148,727,1,0
"25878",0,3,1613,7,148,727,2,0
"26877",1,4,1613,7,251,1184,2,1
"4011",0,1,18,7,4,255,1,0
"4573",0,2,18,8,4,255,1,0
"5221",0,3,154,3,20,255,1,1
"5478",0,4,154,3,20,255,1,1
"5609",0,5,154,3,20,255,1,1
"5760",0,6,154,3,20,255,1,1
"5844",0,7,391,4,30,279,2,1
"5956",0,8,391,4,30,279,2,1
"6657",0,9,391,4,30,279,2,1
"6895",0,10,391,4,30,279,2,2
"8064",0,11,391,4,30,279,2,2
"8991",0,12,391,4,30,279,2,2
"14688",0,13,391,4,30,279,3,2
"18758",1,14,391,4,30,279,4,2
"23174",1,15,391,4,30,279,4,3
"23289",1,16,391,4,30,279,5,3
"9557",0,1,632,8,57,383,1,0
"28102",0,1,840,4,102,840,1,0
"28267",0,2,917,7,180,1028,2,0
"21372",1,1,917,7,180,1028,1,0
"21982",0,2,917,7,180,1028,1,0
"22265",0,3,917,7,180,1028,1,1
"23640",0,4,917,7,180,1028,1,2
"23893",0,5,917,7,180,1028,1,3
"23972",1,6,917,7,180,1028,2,3
"24063",0,7,917,7,180,1028,2,3
"24072",0,8,917,7,180,1028,2,4
"25828",0,1,190,10,7,170,1,0
"25844",0,2,190,9,7,170,1,1
